"accgrpid","userid1","branchname","uwritrname"
94,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
95,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
96,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
97,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
98,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
99,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
100,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
101,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
102,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
103,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
104,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
105,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
106,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
107,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
108,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
109,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
110,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
111,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
112,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
113,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
114,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
115,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
116,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
117,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
118,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
119,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
120,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
121,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
122,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
123,HIC_HH_UK,United Kingdom,PropFA_Combined_UK_EU
