"cntrycode","bscr_entity","region","sum_pml","sum_net","count_policies","is_geocoded"
MC,"33",ALL,440906630.1564291,261356690.83864295,41,1
MT,"33",ALL,1616322.6,1616322.6,1,1
MX,"33",ALL,25059321.210789915,25059321.210789915,13,1
MY,"33",ALL,4972716.948209203,2486358.4741046014,1,1
NG,"33",ALL,51300.0,51300.0,1,1
NL,"33",ALL,68411727.20472538,58122736.08275189,22,1
NO,"33",ALL,217580244.58962134,126402410.6997727,17,1
NZ,"33",ALL,12706353.065473009,12706353.065473009,11,1
PA,"33",ALL,10594579.558958478,10594579.558958478,7,1
PE,"33",ALL,199048586.6876265,154564225.0182894,40,1
PL,"33",ALL,15955786.786863977,15955786.786863977,6,1
PR,"33",ALL,7871182.158275532,7871182.158275532,2,1
PT,"33",ALL,149281147.6706434,59902666.95034636,12,1
QA,"33",ALL,525886.0545820856,524375.4345173847,2,1
SA,"33",ALL,17479281.41593587,8753140.707967935,2,1
SE,"33",ALL,3523062568.148567,3224740725.7053013,462,1
SG,"33",ALL,101709192.04797299,57842983.693192355,15,1
SK,"33",ALL,9525457.34826036,9525457.34826036,2,1
SV,"33",ALL,3910137.7134132623,3910137.7134132623,4,1
TR,"33",ALL,15240463.44218325,10760170.10706991,3,1
TW,"33",ALL,3339168.2767235977,1677280.6881617988,2,1
US,"33",ALL,392727226.04008025,237721948.74355748,55,1
UY,"33",ALL,1779850.8927631278,1779850.8927631278,3,1
VC,"33",ALL,2430000.0,2430000.0,1,1
ZA,"33",ALL,150565819.699491,133209523.23038499,25,1
AE,"3624",ALL,48600.0,48600.0,1,0
CO,"3624",ALL,249750.00000000003,249750.00000000003,1,0
AU,"3624",ALL,145800.0,145800.0,1,1
CA,"3624",ALL,148500.0,148500.0,1,1
CH,"3624",ALL,14842975.680000002,14842975.680000002,10,1
GB,"3624",ALL,7530300.000000001,7530300.000000001,5,1
IN,"3624",ALL,10800.0,10800.0,1,1
MX,"3624",ALL,270000.0,270000.0,1,1
SG,"3624",ALL,286200.0,286200.0,2,1
US,"3624",ALL,3324645.0,3324645.0,3,1
ZA,"3624",ALL,702000.0,702000.0,1,1
AE,HIC,ALL,74325.6,74325.6,1,0
GB,HIC,ALL,8375254.2,8375254.2,14,0
GI,HIC,ALL,1774653.3,1774653.3,3,0
JE,HIC,ALL,2900384.8200000003,2900384.8200000003,6,0
PK,HIC,ALL,22967.820000000003,22967.820000000003,1,0
US,HIC,ALL,136350.0,136350.0,1,0
AU,HIC,ALL,203850.0,203850.0,3,1
CA,HIC,ALL,286200.0,286200.0,1,1
CH,HIC,ALL,294840.0,294840.0,1,1
GB,HIC,ALL,163738225212.68738,163738225212.68738,173171,1
GG,HIC,ALL,119068292.22300002,119068292.22300002,67,1
GI,HIC,ALL,3789439.2,3789439.2,4,1
HK,HIC,ALL,129600.00000000001,129600.00000000001,2,1
IM,HIC,ALL,268281328.5945,268281328.5945,184,1
IN,HIC,ALL,126900.00000000001,126900.00000000001,1,1
JE,HIC,ALL,164563378.3935,164563378.3935,179,1
JP,HIC,ALL,372600.0,372600.0,2,1
MK,HIC,ALL,147150.0,147150.0,1,1
SG,HIC,ALL,1285988.4000000001,1285988.4000000001,5,1
TH,HIC,ALL,27000.0,27000.0,1,1
TW,HIC,ALL,371250.0,371250.0,1,1
US,HIC,ALL,30570795.900000002,30570795.900000002,31,1
ZA,HIC,ALL,2802006.0,2802006.0,3,1
AE,HIG,ALL,970704.7158275546,970704.7158275546,1,0
BE,HIG,ALL,30238.42243791272,30238.42243791272,1,0
BR,HIG,ALL,805367.9357391051,457144.7374358818,2,0
CH,HIG,ALL,71066228.50825071,38370910.55070021,2,0
ES,HIG,ALL,6924829.565050622,6924829.565050622,1,0
FR,HIG,ALL,34564144.78369116,17282072.39184558,1,0
GB,HIG,ALL,16946092.818770606,8737202.876743417,5,0
GR,HIG,ALL,440880.8156598321,440880.8156598321,1,0
IL,HIG,ALL,173120.739177033,173120.739177033,1,0
IT,HIG,ALL,2084027.4573474303,2084027.4573474303,2,0
LB,HIG,ALL,1015358.2334270974,1015358.2334270974,1,0
MC,HIG,ALL,15508156.22226567,7754078.111132835,1,0
MX,HIG,ALL,529234.5424871021,529234.5424871021,3,0
US,HIG,ALL,8090936.363678378,7479319.331113448,7,0
AE,HIG,ALL,1062556002.1147128,1062556002.1147128,279,1
AR,HIG,ALL,297023806.16844034,189645032.61084136,43,1
AT,HIG,ALL,14816298.531940576,14816298.531940576,5,1
BE,HIG,ALL,240874332.8349634,224562076.77948347,46,1
BH,HIG,ALL,48758017.155793615,24379008.577896807,1,1
BL,HIG,ALL,86000.84237127511,86000.84237127511,1,1
BM,HIG,ALL,2503354.4601302645,2503354.4601302645,3,1
BN,HIG,ALL,689718.795409077,689718.795409077,1,1
BR,HIG,ALL,140763762.7410762,121643044.1682938,34,1
BS,HIG,ALL,414613.5453447705,414613.5453447705,4,1
CA,HIG,ALL,10203767.316443913,10203767.316443913,4,1
CH,HIG,ALL,803168381.218579,605641417.5350479,128,1
CL,HIG,ALL,45554605.58973516,26818860.091156635,7,1
CN,HIG,ALL,3916986.040704583,3916986.040704583,10,1
CO,HIG,ALL,35952728.71132237,35952728.71132237,20,1
CR,HIG,ALL,5652499.285488652,5652499.285488652,3,1
CY,HIG,ALL,18160956.01198129,18160956.01198129,3,1
CZ,HIG,ALL,3127771.6553723738,3127771.6553723738,2,1
DE,HIG,ALL,105331364.30280091,86362741.31659473,25,1
DK,HIG,ALL,1235330.7771288685,1235330.7771288685,2,1
DO,HIG,ALL,42267857.80927065,42267857.80927065,4,1
EC,HIG,ALL,3658961.5818529166,3658961.5818529166,5,1
ES,HIG,ALL,182332952.5866003,171472810.91564032,53,1
FI,HIG,ALL,420228.3427849395,420228.3427849395,2,1
FR,HIG,ALL,1578328507.2062516,1197465775.5505996,242,1
GB,HIG,ALL,1673508321.0178623,1328303336.2904801,267,1
GI,HIG,ALL,87605600.82883313,43802800.41441657,1,1
GR,HIG,ALL,184847362.49561036,159372385.20108876,29,1
GT,HIG,ALL,42363434.16718062,42363434.16718062,4,1
HK,HIG,ALL,53688481.10070479,40506921.81130512,13,1
HU,HIG,ALL,5006424.162739362,5006424.162739362,2,1
IE,HIG,ALL,12496403.25886408,12496403.25886408,3,1
IL,HIG,ALL,31698132.1100163,31698132.1100163,23,1
IN,HIG,ALL,152562.65136358727,152562.65136358727,1,1
IS,HIG,ALL,297906.10568751063,297906.10568751063,1,1
IT,HIG,ALL,436331749.45027965,313390123.0342976,84,1
JE,HIG,ALL,11243915.838084206,11243915.838084206,2,1
JO,HIG,ALL,34089.27515079943,34089.27515079943,1,1
JP,HIG,ALL,247759313.01614064,144497318.7397525,42,1
KE,HIG,ALL,271222.49131304625,271222.49131304625,1,1
KR,HIG,ALL,18862468.298259597,18862468.298259597,22,1
LB,HIG,ALL,34755090.84232997,34755090.84232997,8,1
LK,HIG,ALL,112110.77934385299,112110.77934385299,1,1
LU,HIG,ALL,7386908.295803943,7386908.295803943,2,1
MA,HIG,ALL,104752861.51009029,104464326.94487986,9,1
MC,HIG,ALL,92410741.7260075,61851873.04191176,12,1
MU,HIG,ALL,2789129.0595526425,2789129.0595526425,1,1
MX,HIG,ALL,354567766.83019435,323321380.50346345,90,1
MY,HIG,ALL,477218.3697107356,477218.3697107356,1,1
NL,HIG,ALL,30942588.55304986,23013341.31303199,13,1
NO,HIG,ALL,1027479.3423833089,1027479.3423833089,2,1
NZ,HIG,ALL,7689415.529716157,7689415.529716157,5,1
OM,HIG,ALL,4820255.427439487,4820255.427439487,2,1
PA,HIG,ALL,11643636.330645766,11643636.330645766,10,1
PE,HIG,ALL,28614229.71915945,28614229.71915945,11,1
PH,HIG,ALL,170999.12002286385,170999.12002286385,2,1
PL,HIG,ALL,1299960.8300215108,1299960.8300215108,1,1
PR,HIG,ALL,2497497.400682924,2497497.400682924,3,1
PT,HIG,ALL,94557733.73236924,61267457.29695355,12,1
QA,HIG,ALL,6466045.215462786,6466045.215462786,3,1
RS,HIG,ALL,193924.08128882793,193924.08128882793,1,1
SA,HIG,ALL,33076609.946944207,33076609.946944207,9,1
SE,HIG,ALL,161014273.91737118,55933150.300326504,9,1
SG,HIG,ALL,43854299.75360634,43854299.75360634,8,1
SK,HIG,ALL,2885345.6526121097,2885345.6526121097,1,1
SV,HIG,ALL,1863690.037455438,1863690.037455438,1,1
TH,HIG,ALL,16958916.92641279,16577712.358759848,6,1
TR,HIG,ALL,488872.34690654295,488872.34690654295,2,1
TW,HIG,ALL,12320054.357616704,12320054.357616704,16,1
US,HIG,ALL,1215838558.878958,892493048.9270042,221,1
UY,HIG,ALL,24804017.729065184,24804017.729065184,13,1
VE,HIG,ALL,9335023.87972143,9335023.87972143,6,1
VG,HIG,ALL,270544.43508476357,270544.43508476357,1,1
VN,HIG,ALL,50767.91167135487,50767.91167135487,1,1
ZA,HIG,ALL,810787.5118458454,810787.5118458454,3,1
BE,HSA,ALL,874759.5,874759.5,4,0
DK,HSA,ALL,83835.0,83835.0,1,0
ES,HSA,ALL,23739416.55,23739416.55,10,0
FR,HSA,ALL,9340465.080014281,9340465.080014281,95,0
GR,HSA,ALL,24804736.380000003,24804736.380000003,9,0
HR,HSA,ALL,138855.6,138855.6,1,0
IE,HSA,ALL,66108224.11500001,66108224.11500001,52,0
IT,HSA,ALL,13343791.5,13343791.5,4,0
LI,HSA,ALL,3727784.7,3727784.7,2,0
PL,HSA,ALL,13500.0,13500.0,1,0
PT,HSA,ALL,12093965.55,12093965.55,3,0
RO,HSA,ALL,115712.55,115712.55,1,0
SE,HSA,ALL,368177.13,368177.13,3,0
SL,HSA,ALL,41040.0,41040.0,1,0
AD,HSA,ALL,12706950.600000001,12706950.600000001,5,1
AE,HSA,ALL,12372488.64,10176701.22,9,1
AT,HSA,ALL,2151184421.1280694,2118568537.2280693,2497,1
AU,HSA,ALL,1975431.24,1975431.24,12,1
BE,HSA,ALL,12703405179.780003,12028431981.6,6013,1
BG,HSA,ALL,7301907.000000001,7301907.000000001,6,1
BH,HSA,ALL,250560.00000000003,250560.00000000003,1,1
BR,HSA,ALL,50112486,25812486,2,1
CA,HSA,ALL,756000.0,756000.0,2,1
CH,HSA,ALL,483349.6800000001,483349.6800000001,4,1
CL,HSA,ALL,204303.6,204303.6,1,1
CN,HSA,ALL,1250.64,1250.64,1,1
CO,HSA,ALL,40267.8,40267.8,1,1
CR,HSA,ALL,79361.64000000001,79361.64000000001,1,1
CY,HSA,ALL,5304590.100000001,5304590.100000001,5,1
CZ,HSA,ALL,45454205.16,45454205.16,42,1
DE,HSA,ALL,17016495040.01344,16932976420.49123,21741,1
DK,HSA,ALL,32981391.592501506,32183382.292501505,91,1
ES,HSA,ALL,12380128063.724554,12125405488.844551,6534,1
FI,HSA,ALL,14737354.92,14737354.92,64,1
FR,HSA,ALL,27872584960.47987,27294533246.682964,27517,1
GB,HSA,ALL,1288819897.4887195,1265869897.4887195,526,1
GR,HSA,ALL,66741733.21500001,66741733.21500001,42,1
HK,HSA,ALL,169577608.32000002,90674804.16,4,1
HR,HSA,ALL,289612411.9668,289612411.9668,629,1
HU,HSA,ALL,33457402.080000002,33457402.080000002,116,1
IE,HSA,ALL,7063893426.363988,7063893426.363988,9242,1
IL,HSA,ALL,5238408.240000001,5238408.240000001,3,1
IN,HSA,ALL,319140.0,319140.0,2,1
IS,HSA,ALL,2006487.72,2006487.72,1,1
IT,HSA,ALL,639165885.6249344,615340986.9250178,745,1
JP,HSA,ALL,27271459.08000001,27271459.08000001,23,1
LI,HSA,ALL,81000.0,81000.0,1,1
LT,HSA,ALL,64800.00000000001,32400.000000000004,1,1
LU,HSA,ALL,491557482.35999995,491557482.35999995,592,1
LV,HSA,ALL,5400.0,5400.0,1,1
MA,HSA,ALL,31281471.781339496,31281471.781339496,4,1
MC,HSA,ALL,1418462545.4284148,1341156543.2237964,634,1
MT,HSA,ALL,5839560.1645245,5839560.1645245,13,1
MX,HSA,ALL,7107407.640000001,7107407.640000001,9,1
NL,HSA,ALL,14385652561.290989,14050626250.530989,8631,1
NO,HSA,ALL,58376457.000000015,58376457.000000015,161,1
NZ,HSA,ALL,384131.16,384131.16,1,1
PE,HSA,ALL,666900.0,666900.0,1,1
PL,HSA,ALL,7524004.140000001,7524004.140000001,126,1
PT,HSA,ALL,5624519241.184467,5526402293.644468,3338,1
RO,HSA,ALL,7989351.840000001,7989351.840000001,12,1
RS,HSA,ALL,75600.0,75600.0,1,1
RU,HSA,ALL,3114936.0,3114936.0,1,1
SA,HSA,ALL,3968591.76,1984295.88,1,1
SE,HSA,ALL,122212409.04000002,122212409.04000002,336,1
SG,HSA,ALL,298755.0,298755.0,3,1
SI,HSA,ALL,3216781.08,3216781.08,12,1
SK,HSA,ALL,110160.0,110160.0,3,1
TN,HSA,ALL,220320.0,220320.0,1,1
TR,HSA,ALL,933228.0000000001,933228.0000000001,4,1
US,HSA,ALL,137395384.40153575,136305993.80153576,76,1
GB,,is_eu,23640419921.293205,23640419921.293205,39913,0
GB,,is_eu,2712489951.9533753,2712489951.9533753,42203,1
AT,"33",is_eu,830464.4826,503830.16330058,2,0
BE,"33",is_eu,90808.02555768001,45404.012778840006,1,0
CZ,"33",is_eu,23160777.437390402,23160777.437390402,1,0
FR,"33",is_eu,22792119.227714762,15036554.642285924,7,0
GB,"33",is_eu,100305.0,100305.0,1,0
NL,"33",is_eu,23315804.834400002,23315804.834400002,3,0
PL,"33",is_eu,17153.100000000002,17153.100000000002,1,0
SE,"33",is_eu,144017548.04316634,86223843.48932883,5,0
AT,"33",is_eu,157524233.21209025,80090025.05667882,10,1
BE,"33",is_eu,378555946.3172236,274964107.2062722,57,1
CZ,"33",is_eu,768960.0,768960.0,3,1
DE,"33",is_eu,248119310.8107118,155929564.71353707,33,1
DK,"33",is_eu,835099822.0933461,767326116.8871353,154,1
FR,"33",is_eu,3056498861.7811794,2015996939.1029346,332,1
GB,"33",is_eu,12651005043.444609,9697017842.906094,1683,1
NL,"33",is_eu,68411727.2047254,58122736.082751885,22,1
PL,"33",is_eu,15955786.786863977,15955786.786863977,6,1
SE,"33",is_eu,3523062568.148571,3224740725.705303,462,1
GB,"3624",is_eu,7530300.000000001,7530300.000000001,5,1
GB,HIC,is_eu,8375254.2,8375254.2,14,0
GB,HIC,is_eu,165391394109.65417,165391394109.65417,173171,1
BE,HIG,is_eu,30238.42243791272,30238.42243791272,1,0
FR,HIG,is_eu,34564144.78369116,17282072.39184558,1,0
GB,HIG,is_eu,16946092.81877061,8737202.876743417,5,0
AT,HIG,is_eu,14816298.531940576,14816298.531940576,5,1
BE,HIG,is_eu,240874332.83496332,224562076.7794834,46,1
CZ,HIG,is_eu,3127771.6553723738,3127771.6553723738,2,1
DE,HIG,is_eu,105331364.30280092,86362741.31659472,25,1
DK,HIG,is_eu,1235330.7771288685,1235330.7771288685,2,1
FR,HIG,is_eu,1578328507.2062526,1197465775.5506005,242,1
GB,HIG,is_eu,1673508321.0178626,1328303336.2904809,267,1
NL,HIG,is_eu,30942588.55304986,23013341.313031998,13,1
PL,HIG,is_eu,1299960.8300215108,1299960.8300215108,1,1
SE,HIG,is_eu,161014273.9173712,55933150.300326504,9,1
BE,HSA,is_eu,874759.5,874759.5,4,0
DK,HSA,is_eu,83835.0,83835.0,1,0
FR,HSA,is_eu,9340465.080014281,9340465.080014281,95,0
PL,HSA,is_eu,13500.0,13500.0,1,0
SE,HSA,is_eu,368177.13,368177.13,3,0
AT,HSA,is_eu,2145356909.501271,2112741025.601271,2497,1
BE,HSA,is_eu,12703405179.780003,12028431981.600004,6013,1
CZ,HSA,is_eu,45454205.160000004,45454205.160000004,42,1
DE,HSA,is_eu,17015944240.013388,16932425620.491177,21741,1
DK,HSA,is_eu,32981391.592501506,32183382.292501505,91,1
FR,HSA,is_eu,27872584960.479332,27294533246.68242,27517,1
GB,HSA,is_eu,1286607650.3287191,1263657650.3287191,526,1
NL,HSA,is_eu,14385652561.291014,14050626250.531,8631,1
PL,HSA,is_eu,7524004.140000001,7524004.140000001,126,1
SE,HSA,is_eu,122212409.03999993,122212409.03999993,336,1
JP,"33",is_jp,112842416.11595233,64189409.84705542,10,1
JP,HIC,is_jp,372600.0,372600.0,2,1
JP,HIG,is_jp,247759313.01614073,144497318.7397525,42,1
JP,HSA,is_jp,27271459.08,27271459.08,23,1
JP,"33",is_jp_eq,112842416.11595233,64189409.847055435,10,1
JP,HIC,is_jp_eq,372600.0,372600.0,2,1
JP,HIG,is_jp_eq,247759313.01614055,144497318.73975253,42,1
JP,HSA,is_jp_eq,27271459.080000002,27271459.080000002,23,1
CA,"33",is_na_eq,284792662.90411615,143952281.62757933,18,1
US,"33",is_na_eq,28892608.617759038,26937355.01662183,5,1
CA,"3624",is_na_eq,148500.0,148500.0,1,1
US,"3624",is_na_eq,465750.00000000006,465750.00000000006,1,1
CA,HIC,is_na_eq,286200.0,286200.0,1,1
US,HIC,is_na_eq,778680.0,778680.0,4,1
CA,HIG,is_na_eq,10203767.31644391,10203767.31644391,4,1
US,HIG,is_na_eq,100637880.85092299,90347699.530506,23,1
CA,HSA,is_na_eq,756000.0,756000.0,2,1
US,HSA,is_na_eq,6779709.720000001,6779709.720000001,7,1
MX,"33",is_nahu,5570458.340227749,5570458.340227749,1,0
US,"33",is_nahu,2939741491.9117994,1771607113.6204693,305,0
MX,"33",is_nahu,25059321.210789915,25059321.210789915,13,1
US,"33",is_nahu,392727226.0400804,237721948.74355748,55,1
MX,"3624",is_nahu,270000.0,270000.0,1,1
US,"3624",is_nahu,3324645.0,3324645.0,3,1
US,HIC,is_nahu,136350.0,136350.0,1,0
US,HIC,is_nahu,30570795.900000002,30570795.900000002,31,1
MX,HIG,is_nahu,529234.5424871021,529234.5424871021,3,0
US,HIG,is_nahu,8090936.363678377,7479319.331113447,7,0
BH,HIG,is_nahu,48758017.155793615,24379008.577896807,1,1
MX,HIG,is_nahu,354567766.8301945,323321380.50346357,90,1
US,HIG,is_nahu,1215838558.878958,892493048.9270045,221,1
BH,HSA,is_nahu,250560.00000000003,250560.00000000003,1,1
MX,HSA,is_nahu,7107407.640000001,7107407.640000001,9,1
US,HSA,is_nahu,137395384.40153575,136305993.80153573,76,1
AE,"33",is_non_us,210086.61457001444,210086.61457001444,2,0
AR,"33",is_non_us,1728139.7132929175,1728139.7132929175,2,0
AT,"33",is_non_us,830464.4826,503830.16330058,2,0
AU,"33",is_non_us,18756114.4102309,18756114.4102309,4,0
BE,"33",is_non_us,90808.02555768001,45404.012778840006,1,0
BM,"33",is_non_us,149007.9938777658,149007.9938777658,1,0
BR,"33",is_non_us,55980557.770122945,46207734.77338711,2,0
