cntrycode,bscr_entity,region,sum_pml,sum_net,count_policies,is_geocoded
CY,HSA,ALL,570972.0,570972.0,1,0
DE,HSA,ALL,11303190.0,11303190.0,2,0
DK,HSA,ALL,78660.0,78660.0,1,0
ES,HSA,ALL,92939537.0,92939537.0,11,0
FR,HSA,ALL,61582623.2001904,61582623.2001904,97,0
GR,HSA,ALL,19052763.8,19052763.8,9,0
HR,HSA,ALL,102856.0,102856.0,1,0
IE,HSA,ALL,65258663.1,65258663.1,52,0
IT,HSA,ALL,29905790.0,29905790.0,6,0
LI,HSA,ALL,2761322.0,2761322.0,2,0
MC,HSA,ALL,1023468.8,1023468.8,1,0
PL,HSA,ALL,10000.0,10000.0,1,0
PT,HSA,ALL,62080493.0,62080493.0,4,0
RO,HSA,ALL,85713.0,85713.0,1,0
SE,HSA,ALL,891706.8,891706.8,6,0
SL,HSA,ALL,30400.0,30400.0,1,0
AD,HSA,ALL,9412556.0,9412556.0,5,1
AE,HSA,ALL,9164806.4,7538297.2,9,1
AT,HSA,ALL,1593469941.5763476,1569310027.5763476,2497,1
AU,HSA,ALL,1463282.4,1463282.4,12,1
BE,HSA,ALL,9409929762.8,8909949616.0,6013,1
BG,HSA,ALL,5408820.0,5408820.0,6,1
BH,HSA,ALL,185600.0,185600.0,1,1
BR,HSA,ALL,37120360.0,19120360.0,2,1
CA,HSA,ALL,560000.0,560000.0,2,1
CH,HSA,ALL,358036.8,358036.8,4,1
CL,HSA,ALL,151336.0,151336.0,1,1
CN,HSA,ALL,926.4,926.4,1,1
CO,HSA,ALL,29828.0,29828.0,1,1
CR,HSA,ALL,58786.4,58786.4,1,1
CY,HSA,ALL,3929326.0,3929326.0,5,1
CZ,HSA,ALL,33669781.6,33669781.6,42,1
DE,HSA,ALL,12604811140.750692,12542945496.660166,21741,1
DK,HSA,ALL,24492760.43889,23901642.43889,91,1
ES,HSA,ALL,9182639102.38856,8993955713.58856,6535,1
FI,HSA,ALL,10916559.2,10916559.2,64,1
FR,HSA,ALL,20646599039.407322,20218412584.742947,27517,1
GB,HSA,ALL,954681405.5471992,937681405.5471992,526,1
GR,HSA,ALL,51640059.7,51640059.7,43,1
HK,HSA,ALL,125613043.2,67166521.6,4,1
HR,HSA,ALL,214527712.568,214527712.568,629,1
HU,HSA,ALL,24783260.8,24783260.8,116,1
IE,HSA,ALL,5237425154.558512,5237425154.558512,9243,1
IL,HSA,ALL,3880302.4000000004,3880302.4000000004,3,1
IN,HSA,ALL,236400.0,236400.0,2,1
IS,HSA,ALL,1486287.2,1486287.2,1,1
IT,HSA,ALL,473456211.57402545,455808138.4629761,745,1
JP,HSA,ALL,20201080.8,20201080.8,23,1
LI,HSA,ALL,2821322.0,2821322.0,3,1
LT,HSA,ALL,48000.0,24000.0,1,1
LU,HSA,ALL,364116653.6,364116653.6,592,1
LV,HSA,ALL,4000.0,4000.0,1,1
MA,HSA,ALL,23171460.57877,23171460.57877,4,1
MC,HSA,ALL,1050712996.6136404,993449291.276886,634,1
MT,HSA,ALL,4325600.12187,4325600.12187,13,1
MX,HSA,ALL,5264746.4,5264746.4,9,1
NL,HSA,ALL,10656038934.289627,10407871296.689627,8631,1
NO,HSA,ALL,43241820.0,43241820.0,161,1
NZ,HSA,ALL,284541.6,284541.6,1,1
PE,HSA,ALL,494000.0,494000.0,1,1
PL,HSA,ALL,5573336.4,5573336.4,126,1
PT,HSA,ALL,4166310549.02553,4093631328.62553,3338,1
RO,HSA,ALL,6003751.4,6003751.4,13,1
RS,HSA,ALL,56000.0,56000.0,1,1
RU,HSA,ALL,2307360.0,2307360.0,1,1
SA,HSA,ALL,2939697.5999999996,1469848.7999999998,1,1
SE,HSA,ALL,90575537.4,90575537.4,336,1
SG,HSA,ALL,221300.0,221300.0,3,1
SI,HSA,ALL,2382800.8,2382800.8,12,1
SK,HSA,ALL,81600.0,81600.0,3,1
TN,HSA,ALL,163200.0,163200.0,1,1
TR,HSA,ALL,691280.0,691280.0,4,1
US,HSA,ALL,101774358.81595239,100967402.81595239,76,1
AT,33,is_eu,721312.7143443596,440490.4210029798,4,0
BE,33,is_eu,15747994.657685466,8286041.567590246,5,0
CZ,33,is_eu,17156131.435104,17156131.435104,1,0
DE,33,is_eu,5733618.086427593,5522417.433213796,4,0
FR,33,is_eu,269694076.2154452,128815325.5824513,21,0
GB,33,is_eu,152000.0,152000.0,1,0
NL,33,is_eu,18020966.544,18020966.544,4,0
PL,33,is_eu,229138.0,229138.0,1,0
SE,33,is_eu,264348333.14132863,216781498.11759406,5,0
AT,33,is_eu,117299776.07014093,59699152.01479954,12,1
BE,33,is_eu,280411812.0868323,203677116.44909048,57,1
CZ,33,is_eu,17725731.435104,17725731.435104,4,1
DE,33,is_eu,183792082.0820087,115503381.26928669,33,1
DK,33,is_eu,618592460.8098859,568389716.2126927,154,1
FR,33,is_eu,2275085169.2213316,1498937035.1383283,333,1
GB,33,is_eu,9371114846.996006,7182976179.930439,1683,1
NL,33,is_eu,51013102.48498177,43391627.57981621,23,1
PL,33,is_eu,11831807.323602945,11831807.323602945,6,1
SE,33,is_eu,2694309250.7946787,2430519956.7227507,462,1
GB,3624,is_eu,5578000.0,5578000.0,5,1
GB,HIC,is_eu,7099946.0,7099946.0,15,0
GB,HIC,is_eu,121287644939.62,121287644939.62,173171,1
BE,HIG,is_eu,5588088.678349555,5588088.678349555,2,0
FR,HIG,is_eu,55746827.5515675,31311597.99824498,4,0
GB,HIG,is_eu,148840795.21104398,75714983.24008328,5,0
AT,HIG,is_eu,10975035.949585611,10975035.949585611,5,1
BE,HIG,is_eu,178447830.561038,166364677.92734915,46,1
CZ,HIG,is_eu,2316867.8928684248,2316867.8928684248,2,1
DE,HIG,is_eu,78023232.81688955,63972400.975255355,25,1
DK,HIG,is_eu,915059.834910273,915059.834910273,2,1
FR,HIG,is_eu,1194735297.7703278,899813220.6981075,242,1
GB,HIG,is_eu,1251298742.3322592,989829977.2341566,267,1
NL,HIG,is_eu,22920435.965222117,17046919.491134807,13,1
PL,HIG,is_eu,962933.948164082,962933.948164082,1,1
SE,HIG,is_eu,119269832.53138606,41431963.18542705,9,1
AT,HSA,is_eu,965000.0,965000.0,1,0
BE,HSA,is_eu,647970.0,647970.0,4,0
DE,HSA,is_eu,11303190.0,11303190.0,2,0
DK,HSA,is_eu,78660.0,78660.0,1,0
FR,HSA,is_eu,61582623.2001904,61582623.2001904,97,0
PL,HSA,is_eu,10000.0,10000.0,1,0
SE,HSA,is_eu,891706.8,891706.8,6,0
AT,HSA,is_eu,1593469941.5763476,1569310027.5763476,2497,1
BE,HSA,is_eu,9409929762.8,8909949616.0,6013,1
CZ,HSA,is_eu,33669781.6,33669781.6,42,1
DE,HSA,is_eu,12604811140.750692,12542945496.660166,21741,1
DK,HSA,is_eu,24492760.43889,23901642.43889,91,1
FR,HSA,is_eu,20646599039.407322,20218412584.742947,27517,1
GB,HSA,is_eu,954681405.5471992,937681405.5471992,526,1
NL,HSA,is_eu,10656038934.289627,10407871296.689627,8631,1
PL,HSA,is_eu,5573336.4,5573336.4,126,1
SE,HSA,is_eu,90575537.4,90575537.4,336,1
JP,33,is_jp,3060082.643000042,1599407.467380675,3,0
JP,33,is_jp,83586974.90070543,47547710.997818835,10,1
JP,HIC,is_jp,276000.0,276000.0,2,1
JP,HIG,is_jp,183525417.04899305,107035050.91833518,42,1
JP,HSA,is_jp,20201080.8,20201080.8,23,1
CA,33,is_na_eq,18301343.574820016,16479715.692330807,4,0
CA,33,is_na_eq,210957528.07712308,106631319.72413285,18,1
CA,3624,is_na_eq,110000.0,110000.0,1,0
CA,3624,is_na_eq,110000.0,110000.0,1,1
CA,HIC,is_na_eq,212000.0,212000.0,1,1
CA,HIG,is_na_eq,7558346.160328823,7558346.160328823,4,1
CA,HSA,is_na_eq,560000.0,560000.0,2,1
MX,33,is_nahu,7114586.373140398,7114586.373140398,2,0
US,33,is_nahu,2365811502.9090543,1413295965.355323,326,0
MX,33,is_nahu,22688725.59334642,22688725.59334642,13,1
US,33,is_nahu,738973417.3485165,426252309.81766593,106,1
MX,3624,is_nahu,200000.0,200000.0,1,0
US,3624,is_nahu,345000.0,345000.0,1,0
MX,3624,is_nahu,200000.0,200000.0,1,1
US,3624,is_nahu,2462700.0,2462700.0,3,1
US,HIC,is_nahu,101000.0,101000.0,1,0
US,HIC,is_nahu,22746034.0,22746034.0,32,1
MX,HIG,is_nahu,16448885.4299854,16448885.4299854,3,0
US,HIG,is_nahu,175292598.76770815,87273963.56916803,20,0
BH,HIG,is_nahu,36117049.7450323,18058524.87251615,1,1
MX,HIG,is_nahu,263034815.8316159,239889344.47848186,90,1
US,HIG,is_nahu,906507554.6105088,666539312.3997543,227,1
BH,HSA,is_nahu,185600.0,185600.0,1,1
MX,HSA,is_nahu,5264746.4,5264746.4,9,1
US,HSA,is_nahu,101774358.81595239,100967402.81595239,76,1
US,33,is_us_all,2365811502.9090543,1413295965.355323,326,0
US,33,is_us_all,738973417.3485165,426252309.81766593,106,1
US,3624,is_us_all,345000.0,345000.0,1,0
US,3624,is_us_all,2462700.0,2462700.0,3,1
US,HIC,is_us_all,101000.0,101000.0,1,0
US,HIC,is_us_all,22746034.0,22746034.0,32,1
US,HIG,is_us_all,175292598.76770815,87273963.56916803,20,0
US,HIG,is_us_all,906507554.6105088,666539312.3997543,227,1
US,HSA,is_us_all,101774358.81595239,100967402.81595239,76,1
