entity,region,workbook_currency_assumption,fx_to_usd,workbook_sum_pml,workbook_normalized_sum_pml,csv_sum_pml,delta_sum_pml,workbook_sum_net,workbook_normalized_sum_net,csv_sum_net,delta_sum_net,workbook_count_policies,workbook_normalized_count_policies,csv_count_policies,delta_count_policies,gross_delta_percent
33,ALL (earthquake only),"GBP; numerical normalization, not confirmed currency metadata",1.35,29798684509.7079581,40228224088.105743435,36712903961.800358245402,-3515320126.305385189598,21558481149.128009,29103949551.32281215,26957451176.422438143368,-2146498374.900374006632,5341,5341,5121,-220,-8.738442240468571739570442984
3624,ALL (earthquake only),"GBP; numerical normalization, not confirmed currency metadata",1.35,22066496.800000001,29789770.68000000135,27559570.68000000303,-2230199.99999999832,22066496.800000001,29789770.68000000135,27559570.68000000303,-2230199.99999999832,36,36,27,-9,-7.486462463765425061448498331
HIC,ALL (earthquake only),"GBP; numerical normalization, not confirmed currency metadata",1.35,121743087309.8779999,164353167868.335299865,164343829767.138399992423,-9338101.196899872577,121743087309.8779999,164353167868.335299865,164343829767.138399992423,-9338101.196899872577,173687,173687,173683,-4,-0.005681728754008990993985591919
HIG,ALL (earthquake only),"GBP; numerical normalization, not confirmed currency metadata",1.35,8046544518.94868614,10862835100.5807262890,9923862868.99894745647,-938972231.58177883253,6238734928.40933869,8422292153.3526072315,7876828614.30062531717,-545463539.05198191433,1970,1970,1938,-32,-8.643896578450145604299640853
HSA,ALL (earthquake only),"GBP; numerical normalization, not confirmed currency metadata",1.35,77561198646.25788301,104707618172.4481420635,104360516166.76415750525,-347102005.68398455825,75864599507.85509701,102417209335.6043809635,102070107329.920509863244,-347102005.683871100256,90052,90052,90032,-20,-0.3314964199761713049322500252
TOTAL,ALL (earthquake only),"GBP; numerical normalization, not confirmed currency metadata",1.35,237171581481.592527151,320181635000.14991165385,315368672335.381863202575,-4812962664.768048451275,225426969392.070444601,304326408679.29510021135,301275776458.461973319235,-3050632220.833126892115,271086,271086,270801,-285,-1.503197603686980667359850067
