entity,region,geocoded,workbook_row,legacy_adjustment,workbook_sum_pml,legacy_reconstructed_sum_pml,delta_sum_pml,workbook_sum_net,legacy_reconstructed_sum_net,delta_sum_net,workbook_count_policies,legacy_reconstructed_count_policies,delta_count_policies
HSA,is_nahu,1,39,Exclude US from is_nahu only; aggregate countries; no FX,5450346.4000000004,5450346.4,-4E-10,5450346.4000000004,5450346.4,-4E-10,10,10,0
33,is_us_all,0,40,Exclude US from is_nahu only; aggregate countries; no FX,2365811502.90905,2365811502.9090543,0.0000043,1413295965.35532,1413295965.355323,0.000003,326,326,0
33,is_us_all,1,41,Exclude US from is_nahu only; aggregate countries; no FX,738973417.34851599,738973417.3485165,5.1E-7,426252309.81766498,426252309.81766593,9.5E-7,106,106,0
3624,is_us_all,0,42,Exclude US from is_nahu only; aggregate countries; no FX,345000,345000.0,0.0,345000,345000.0,0.0,1,1,0
3624,is_us_all,1,43,Exclude US from is_nahu only; aggregate countries; no FX,2462700,2462700.0,0.0,2462700,2462700.0,0.0,3,3,0
HIC,is_us_all,0,44,Exclude US from is_nahu only; aggregate countries; no FX,101000,101000.0,0.0,101000,101000.0,0.0,1,1,0
HIC,is_us_all,1,45,Exclude US from is_nahu only; aggregate countries; no FX,22746034,22746034.0,0.0,22746034,22746034.0,0.0,32,32,0
HIG,is_us_all,0,46,Exclude US from is_nahu only; aggregate countries; no FX,175292598.767708,175292598.76770815,1.5E-7,87273963.569168001,87273963.56916803,2.9E-8,20,20,0
HIG,is_us_all,1,47,Exclude US from is_nahu only; aggregate countries; no FX,906507554.61050797,906507554.6105088,8.3E-7,666539312.39975405,666539312.3997543,2.5E-7,227,227,0
HSA,is_us_all,1,48,Exclude US from is_nahu only; aggregate countries; no FX,101774358.815952,101774358.81595239,3.9E-7,100967402.815952,100967402.81595239,3.9E-7,76,76,0
