region,historical_observed_countries,current_observed_countries,current_only_countries,historical_only_countries,interpretation
ALL,"AD, AE, AR, AT, AU, BE, BG, BH, BL, BM, BN, BR, BS, BW, CA, CH, CI, CL, CN, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IM, IN, IS, IT, JE, JO, JP, KE, KR, KW, KY, LB, LI, LK, LT, LU, LV, MA, MC, MK, MT, MU, MX, MY, NG, NL, NO, NZ, OM, PA, PE, PH, PK, PL, PR, PT, PY, QA, RO, RS, RU, SA, SC, SE, SG, SI, SK, SL, SN, SV, TH, TN, TR, TW, US, UY, VC, VE, VG, VN, ZA","AD, AE, AR, AT, AU, BE, BG, BH, BL, BM, BN, BR, BS, BW, CA, CH, CI, CL, CN, CO, CR, CY, CZ, DE, DK, DO, EC, EE, ES, FI, FR, GB, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IM, IN, IS, IT, JE, JO, JP, KE, KR, KW, KY, LB, LI, LK, LT, LU, LV, MA, MC, MK, MT, MU, MX, MY, NG, NL, NO, NZ, OM, PA, PE, PH, PK, PL, PR, PT, PY, QA, RO, RS, RU, SA, SC, SE, SG, SI, SK, SL, SN, SV, TH, TN, TR, TW, US, UY, VC, VE, VG, VN, ZA",,,"Observed populations, not proof of eligibility rules for countries absent from both extracts."
is_eu,"AT, BE, CZ, DE, DK, FR, GB, NL, PL, SE","AT, BE, CZ, DE, DK, FR, GB, NL, PL, SE",,,"Observed populations, not proof of eligibility rules for countries absent from both extracts."
is_jp,JP,JP,,,"Observed populations, not proof of eligibility rules for countries absent from both extracts."
is_na_eq,CA,"CA, US",US,,"Observed populations, not proof of eligibility rules for countries absent from both extracts."
is_nahu,"BH, MX","BH, MX, US",US,,"Observed populations, not proof of eligibility rules for countries absent from both extracts."
is_us_all,US,US,,,"Observed populations, not proof of eligibility rules for countries absent from both extracts."
