entity,region,geocoded,csv_peril_id,presence,workbook_row,fx_assumption,workbook_sum_pml,workbook_normalized_sum_pml,csv_sum_pml,delta_sum_pml,workbook_sum_net,workbook_normalized_sum_net,csv_sum_net,delta_sum_net,workbook_count_policies,workbook_normalized_count_policies,csv_count_policies,delta_count_policies,result
HIC,ALL,1,1,both,7,workbook source units x1.35 -> CSV USD,121727653503.478,164332332229.69530,164330545831.39839999212,-1786398.29690000788,121727653503.478,164332332229.69530,164330545831.39839999212,-1786398.29690000788,173658,173658,173657,-1,difference
HIC,is_eu,0,2,both,15,workbook source units x1.35 -> CSV USD,7099946,9584927.10,8375254.2,-1209672.90,7099946,9584927.10,8375254.2,-1209672.90,15,15,14,-1,difference
HIC,is_eu,1,2,both,16,workbook source units x1.35 -> CSV USD,121287644939.62,163738320668.4870,165391394109.65414,1653073441.16714,121287644939.62,163738320668.4870,165391394109.65414,1653073441.16714,173171,173171,173171,0,difference
HIC,is_jp,1,2,both,23,workbook source units x1.35 -> CSV USD,276000,372600.00,372600.0,0.00,276000,372600.00,372600.0,0.00,2,2,2,0,match_within_0.01
HIC,is_jp_eq,1,1,csv_only,,workbook source units x1.35 -> CSV USD,,,372600.0,372600.0,,,372600.0,372600.0,,,2,2,csv_only
HIC,is_na_eq,1,1,both,30,workbook source units x1.35 -> CSV USD,212000,286200.00,1064880.0,778680.00,212000,286200.00,1064880.0,778680.00,1,1,5,4,difference
HIC,is_nahu,0,2,csv_only,,workbook source units x1.35 -> CSV USD,,,136350.0,136350.0,,,136350.0,136350.0,,,1,1,csv_only
HIC,is_nahu,1,2,csv_only,,workbook source units x1.35 -> CSV USD,,,30570795.900000002,30570795.900000002,,,30570795.900000002,30570795.900000002,,,31,31,csv_only
HIC,is_non_us,0,1,csv_only,,workbook source units x1.35 -> CSV USD,,,13147585.740000000303,13147585.740000000303,,,13147585.740000000303,13147585.740000000303,,,25,25,csv_only
HIC,is_non_us,1,1,csv_only,,workbook source units x1.35 -> CSV USD,,,164299975035.49752007012,164299975035.49752007012,,,164299975035.49752007012,164299975035.49752007012,,,173626,173626,csv_only
HIC,is_us_all,0,1,both,44,workbook source units x1.35 -> CSV USD,101000,136350.00,136350.0,0.00,101000,136350.00,136350.0,0.00,1,1,1,0,match_within_0.01
HIC,is_us_all,1,1,both,45,workbook source units x1.35 -> CSV USD,22746034,30707145.90,30570795.900000002,-136349.999999998,22746034,30707145.90,30570795.900000002,-136349.999999998,32,32,31,-1,difference
