entity,region,geocoded,workbook_row,max_coverage,old_normalized_sum_pml,eq_sum_pml,wind_sum_pml,eq_delta_sum_pml,max_sum_pml,max_delta_sum_pml,max_winning_peril_sum_pml,old_normalized_sum_net,eq_sum_net,wind_sum_net,eq_delta_sum_net,max_sum_net,max_delta_sum_net,max_winning_peril_sum_net,old_normalized_count_policies,eq_count_policies,wind_count_policies,eq_delta_count_policies
HIC,is_nahu,0,,both_perils_reported,,136350.0,136350.0,,136350.0,,tie_within_cent,,136350.0,136350.0,,136350.0,,tie_within_cent,,1,1,
HIC,is_nahu,1,,both_perils_reported,,30570795.900000002,30570795.900000002,,30570795.900000002,,tie_within_cent,,30570795.900000002,30570795.900000002,,30570795.900000002,,tie_within_cent,,31,31,
HIC,is_us_all,0,44,both_perils_reported,136350.00,136350.0,136350.0,0.00,136350.0,0.00,tie_within_cent,136350.00,136350.0,136350.0,0.00,136350.0,0.00,tie_within_cent,1,1,1,0
HIC,is_us_all,1,45,both_perils_reported,30707145.90,30570795.900000002,30570795.900000002,-136349.999999998,30570795.900000002,-136349.999999998,tie_within_cent,30707145.90,30570795.900000002,30570795.900000002,-136349.999999998,30570795.900000002,-136349.999999998,tie_within_cent,32,31,31,-1
HIG,ALL,0,8,wind_not_exported_for_this_region,943686861.3994535190,159149321.12381021732,,-784537540.27564330168,,,,549398903.8843696365,92249122.49038595402,,-457149781.39398368248,,,,55,29,,-26
HIG,ALL,1,9,wind_not_exported_for_this_region,9919148239.181272770,9764713547.87513723915,,-154434691.30613553085,,,,7872893249.468237595,7784579491.81023936315,,-88313757.65799823185,,,,1915,1909,,-6
HIG,is_eu,0,17,both_perils_reported,283737210.44529735,51540476.02489968272,51540476.02489967872,-232196734.42039766728,51540476.02489968272,-232196734.42039766728,tie_within_cent,152029804.38751395,26049513.69102690972,26049513.69102690972,-125980290.69648704028,26049513.69102690972,-125980290.69648704028,tie_within_cent,11,7,7,-4
HIG,is_eu,1,18,both_perils_reported,3860818113.963577770,3810478749.6267625691,3810478749.6267622911,-50339364.3368152009,3810478749.6267625691,-50339364.3368152009,tie_within_cent,2961399227.1348825,2936119783.3449799431,2936119783.3449806111,-25279443.7899025569,2936119783.3449806111,-25279443.7899018889,tie_within_cent,612,612,612,0
HIG,is_jp,1,24,both_perils_reported,247759313.0161405365,247759313.01614058,247759313.01614064,4.35E-8,247759313.01614064,1.035E-7,tie_within_cent,144497318.7397522635,144497318.7397525,144497318.73975253,2.365E-7,144497318.73975253,2.665E-7,tie_within_cent,42,42,42,0
HIG,is_na_eq,1,31,wind_not_exported_for_this_region,10203767.316443907405,110841648.167366883,,100637880.850922975595,,,,10203767.316443907405,100551466.846949913,,90347699.530506005595,,,,4,27,,23
HIG,is_nahu,0,37,both_perils_reported,22205995.330480290,8620170.9061654801,8620170.9061654791,-13585824.4243148099,8620170.9061654801,-13585824.4243148099,tie_within_cent,22205995.330480290,8008553.8736005481,8008553.8736005491,-14197441.4568797419,8008553.8736005491,-14197441.4568797409,tie_within_cent,3,10,10,7
HIG,is_nahu,1,38,both_perils_reported,403855018.52847480,1619164342.864945965,1619164342.864945415,1215309324.336471165,1619164342.864945965,1215309324.336471165,tie_within_cent,348229623.6238473135,1240193438.008364407,1240193438.008364207,891963814.3845170935,1240193438.008364407,891963814.3845170935,tie_within_cent,91,312,312,221
HIG,is_us_all,0,46,both_perils_reported,236645008.33640580,8090936.363678378,8090936.363678377,-228554071.972727422,8090936.363678378,-228554071.972727422,tie_within_cent,117819850.81837680135,7479319.331113446,7479319.331113447,-110340531.48726335535,7479319.331113447,-110340531.48726335435,tie_within_cent,20,7,7,-13
HIG,is_us_all,1,47,both_perils_reported,1223785198.7241857595,1215838558.878958,1215838558.8789575,-7946639.8452277595,1215838558.878958,-7946639.8452277595,tie_within_cent,899828071.7396679675,892493048.9270042,892493048.9270041,-7335022.8126637675,892493048.9270042,-7335022.8126637675,tie_within_cent,227,221,221,-6
HSA,ALL,0,10,wind_not_exported_for_this_region,471543023.7452565135,154794263.655014294,,-316748760.0902422195,,,,471543023.7452565135,154794263.655014294,,-316748760.0902422195,,,,201,187,,-14
HSA,ALL,1,11,wind_not_exported_for_this_region,104236075148.70288555,104205721903.10914321125,,-30353245.59374233875,,,,101945666311.85912445,101915313066.265495569244,,-30353245.593628880756,,,,89851,89845,,-6
HSA,is_eu,0,19,both_perils_reported,101896852.50025704945,10680736.710014281,10680736.710014281,-91216115.79024276845,10680736.710014281,-91216115.79024276845,tie_within_cent,101896852.50025704945,10680736.710014281,10680736.710014281,-91216115.79024276845,10680736.710014281,-91216115.79024276845,tie_within_cent,112,104,104,-8
HSA,is_eu,1,20,both_perils_reported,75626786214.28349865,75626314070.113584927,75617723511.326301887,-472144.169913723,75626314070.113584927,-472144.169913723,1,73898852478.82438365,73898380334.654474825,73889789775.867154185,-472144.169908825,73898380334.654474825,-472144.169908825,1,67520,67520,67520,0
HSA,is_jp,1,25,both_perils_reported,27271459.08000000135,27271459.080000002,27271459.080000002,6.5E-10,27271459.080000002,6.5E-10,tie_within_cent,27271459.08000000135,27271459.080000002,27271459.080000002,6.5E-10,27271459.080000002,6.5E-10,tie_within_cent,23,23,23,0
HSA,is_na_eq,1,32,wind_not_exported_for_this_region,756000.00,7535709.720000001,,6779709.720000001,,,,756000.00,7535709.720000001,,6779709.720000001,,,,2,9,,7
HSA,is_nahu,1,39,both_perils_reported,7357967.640000000540,144753352.04153575103,144753352.04153575103,137395384.401535750490,144753352.04153575103,137395384.401535750490,tie_within_cent,7357967.640000000540,143663961.44153573103,143663961.44153576103,136305993.801535730490,143663961.44153576103,136305993.801535760490,tie_within_cent,10,86,86,76
HSA,is_us_all,1,48,both_perils_reported,137395384.40153520,137395384.40153575,137395384.40153575,5.5E-7,137395384.40153575,5.5E-7,tie_within_cent,136305993.80153520,136305993.80153573,136305993.80153576,5.3E-7,136305993.80153576,5.6E-7,tie_within_cent,76,76,76,0
