entity,old_country_count,new_country_count,old_only_countries,new_only_countries,qualification
33,86,86,,,Missing current entity/country population; not proof of a region lookup exclusion.
3624,11,11,,,Missing current entity/country population; not proof of a region lookup exclusion.
HIC,19,19,,,Missing current entity/country population; not proof of a region lookup exclusion.
HIG,75,75,,,Missing current entity/country population; not proof of a region lookup exclusion.
HSA,58,58,,,Missing current entity/country population; not proof of a region lookup exclusion.
