"cntrycode","bscr_entity","region","sum_pml","sum_net","count_policies","is_geocoded","peril_id"
AE,"33",ALL,210086.61457001444,210086.61457001444,2,0,1
AR,"33",ALL,1728139.7132929175,1728139.7132929175,2,0,1
AT,"33",ALL,830464.4826,503830.16330058,2,0,1
AU,"33",ALL,18756114.4102309,18756114.4102309,4,0,1
BE,"33",ALL,90808.02555768001,45404.012778840006,1,0,1
BM,"33",ALL,149007.9938777658,149007.9938777658,1,0,1
BR,"33",ALL,55980557.770122945,46207734.77338711,2,0,1
BS,"33",ALL,45691.12050421937,45691.12050421937,1,0,1
BW,"33",ALL,1105650.0,1105650.0,1,0,1
CH,"33",ALL,455287752.00667346,254653752.845993,31,0,1
CL,"33",ALL,12254179.395542976,12254179.395542976,11,0,1
CN,"33",ALL,83336767.11848314,60168296.09843293,12,0,1
CO,"33",ALL,10564464.789901663,10564464.789901663,7,0,1
CY,"33",ALL,11907629.775,11907629.775,3,0,1
CZ,"33",ALL,23160777.437390402,23160777.437390402,1,0,1
DO,"33",ALL,363608.12963492284,363608.12963492284,1,0,1
EE,"33",ALL,75600.0,75600.0,1,0,1
ES,"33",ALL,56470650.59189952,32090656.105949763,5,0,1
FR,"33",ALL,22792119.227714762,15036554.642285924,7,0,1
GB,"33",ALL,100305.0,100305.0,1,0,1
GI,"33",ALL,3664028.2500000005,3664028.2500000005,1,0,1
GR,"33",ALL,101526194.69247444,93536279.86161363,19,0,1
GT,"33",ALL,2748894.4234269457,2748894.4234269457,4,0,1
HK,"33",ALL,16827200.250322174,16736239.938533973,11,0,1
ID,"33",ALL,0.0,0.0,1,0,1
IE,"33",ALL,16581742.491600001,16367413.116600001,11,0,1
IL,"33",ALL,9189487.720355295,9117495.493071498,7,0,1
IN,"33",ALL,21078587.25951058,10613797.626694173,2,0,1
KR,"33",ALL,49244.87432121422,24622.43716060711,1,0,1
KW,"33",ALL,174598.97110365692,174598.97110365692,1,0,1
KY,"33",ALL,273639.04390860215,136819.52195430108,1,0,1
LB,"33",ALL,40257079.14412824,38912554.21616226,7,0,1
LT,"33",ALL,5333505.48,5333505.48,2,0,1
MA,"33",ALL,216000.0,216000.0,1,0,1
MC,"33",ALL,25477438.61953574,20520481.249377515,10,0,1
MT,"33",ALL,2700.0,2700.0,1,0,1
MX,"33",ALL,5570458.340227749,5570458.340227749,1,0,1
NG,"33",ALL,2030716.4668542002,1015358.2334271001,1,0,1
NL,"33",ALL,23315804.834400002,23315804.834400002,3,0,1
NZ,"33",ALL,1698544.4738940117,1698544.4738940117,3,0,1
OM,"33",ALL,3375.0,3375.0,1,0,1
PA,"33",ALL,227153.57481309873,227153.57481309873,1,0,1
